"Rank","Geographic Area","Census_2010","Estimates Base","Jul_1_2010","Jul_1_2011","Jul_1_2012","Jul_1_2013","Jul_1_2014","Jul_1_2015","Jul_1_2016","Jul_1_2017","Jul_1_2018","Jul_1_2019","latitude","longitude"
673,"Huntington Park city, California","58,114",58125,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509,33.9827043,-118.2120343
674,"Taunton city, Massachusetts","55,874",55826,55851,55876,55990,56109,56659,56838,56939,56982,57365,57464,41.8946107,-71.11113
675,"Midwest City city, Oklahoma","54,371",54370,54586,55386,56232,56835,57095,57289,57417,57165,57186,57407,35.4495097,-97.3967025
676,"Medford city, Massachusetts","56,173",56280,56400,56824,57255,57399,57551,57792,57820,57772,57554,57341,42.4184296,-71.1061639
677,"Euless city, Texas","51,277",51263,51411,52052,52756,53140,53569,54163,54881,55252,57241,57197,32.8457865,-97.0667142473263
678,"Shoreline city, Washington","53,007",53031,53180,53762,54459,54802,55249,55592,55687,56521,56557,57027,47.7558829,-122.341042732954
679,"Smyrna city, Georgia","51,271",51037,51140,51636,52322,53074,54419,55583,56246,56285,56512,56666,33.883887,-84.5147454
680,"Pocatello city, Idaho","54,255",54236,54335,54702,54779,54476,54427,54775,54911,55336,55982,56637,42.8688613,-112.4401098
681,"Valdosta city, Georgia","54,518",54764,54977,55787,57156,56088,56309,55818,55846,56054,56428,56457,30.8327022,-83.2784851
682,"Carson City, Nevada","55,274",55269,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916,39.1649125,-119.7666496
683,"Lake Havasu City city, Arizona","52,527",52531,52578,52789,52794,52786,53030,53399,53800,54380,55020,55865,34.4838502,-114.3224495
684,"Grand Forks city, North Dakota","52,838",52920,53040,52770,53576,54914,55811,56535,56729,56754,56637,55839,47.9078244,-97.0592028
685,"Blue Springs city, Missouri","52,575",52593,52657,52754,52977,53149,53462,53998,54387,54861,55126,55829,39.017316,-94.282265
686,"Southaven city, Mississippi","48,982",48979,49125,49756,50407,50977,51740,52529,53200,54155,54979,55780,34.9889818,-90.0125913
687,"Tinley Park village, Illinois","56,703",56827,56882,57086,57268,57372,57364,57195,56929,56553,56095,55773,41.5733669,-87.7844944
688,"Diamond Bar city, California","55,544",55568,55588,55854,56087,56233,56279,56429,56581,56334,56106,55720,34.0286226,-117.8103367
689,"New Brunswick city, New Jersey","55,181",54500,54886,55296,55404,55896,55882,56009,56183,56120,55878,55676,40.4862174,-74.4518173
690,"Lenexa city, Kansas","48,190",48216,48292,48865,49351,50279,50924,52430,53028,53557,55349,55625,38.9697458,-94.7845837
691,"Brookhaven city, Georgia","(X)",49640,49688,50147,50942,51479,51990,52693,53148,53630,54029,55554,33.8584368,-84.340203
692,"Novato city, California","51,904",51869,51970,52680,53221,54142,54856,55406,55913,55701,55640,55516,38.1061979,-122.5681191
693,"Tigard city, Oregon","48,035",48205,48326,49244,49818,50361,50674,51060,51978,53373,54652,55514,45.4307473,-122.771933
694,"Highland city, California","53,104",53106,53218,53671,53939,54150,54325,54553,54752,55198,55311,55417,34.1283442,-117.2086513
695,"Fountain Valley city, California","55,313",55360,55470,55950,56318,56601,56671,56643,56423,56051,55663,55357,33.7038145,-117.9627349
696,"Dearborn Heights city, Michigan","57,774",57774,57640,57278,57115,56653,56596,56322,56097,55873,55627,55353,42.3369816,-83.2732627
697,"Albany city, Oregon","50,158",50142,50327,50946,51017,50937,51343,51659,52716,53524,54518,55338,44.6365071,-123.1059324
698,"Grapevine city, Texas","46,334",46336,46610,47102,48427,50117,50772,51430,52055,53974,53809,55281,32.9337381,-97.0788754
699,"Apple Valley city, Minnesota","49,084",49092,49146,49492,49721,49925,50195,50950,51938,52390,54065,55135,44.7319094,-93.21772
700,"Chicopee city, Massachusetts","55,298",55307,55306,55630,55840,55923,56274,55820,55342,55336,55424,55126,42.1487691,-72.6071119
701,"Hempstead village, New York","53,891",54018,54081,54187,54982,55476,55488,55407,55367,55363,55246,55113,40.7063185,-73.618684
702,"Oak Lawn village, Illinois","56,690",56690,56732,56924,57078,57170,57106,56825,56456,55983,55430,55022,41.7108662,-87.7581081
703,"Cathedral City city, California","51,200",51230,51452,52077,52478,52846,53187,53516,53943,54413,54793,55007,33.82299805,-116.466870242712
704,"Bentonville city, Arkansas","35,301",35356,35859,37227,38747,40472,42001,44743,47166,49399,51103,54909,36.3728538,-94.2088172
705,"Stonecrest city, Georgia","(X)",50207,50256,50726,51537,52084,52607,53327,54037,54278,54424,54903,33.6831296,-84.1358505
706,"Kettering city, Ohio","56,163",56129,56131,56000,55925,55798,55552,55375,55244,55144,55014,54855,39.6895036,-84.1688274
707,"Colton city, California","52,154",52148,52261,52712,52945,53105,53706,54291,54507,54680,54637,54824,34.0739016,-117.3136547
708,"Anderson city, Indiana","56,129",56082,56065,55798,55441,55465,55252,55020,54985,54898,54883,54765,40.1053196,-85.6802541
709,"West Haven city, Connecticut","55,564",55564,55570,55510,55284,55130,55289,54872,54640,54841,54895,54620,41.27325015,-72.9612374210589
710,"Burlington city, North Carolina","49,963",51079,51172,51169,51198,51314,51475,51867,52180,53121,53911,54606,36.0956918,-79.4377991
711,"Manhattan city, Kansas","52,281",52158,52526,54148,56597,56101,55685,56513,55241,55124,54983,54604,39.1836082,-96.5716694
712,"St. Cloud city, Florida","35,183",37787,37983,39474,41175,42504,44605,46742,48578,51700,54200,54579,28.2498534,-81.2839038
713,"Normal town, Illinois","52,497",52549,52643,53119,54025,54667,54517,54294,54391,54452,54629,54469,40.51792445,-88.9725503750265
714,"Decatur city, Alabama","55,683",55786,55814,55916,55837,55465,55269,55027,54729,54437,54364,54445,34.623709,-87.0670509649183
715,"Berwyn city, Illinois","56,657",56653,56671,56791,56886,56914,56777,56436,55986,55435,54821,54391,41.8505874,-87.7936685
716,"Port Arthur city, Texas","53,818",54376,54500,54905,54563,54719,54529,55378,55566,55433,54889,54280,29.8988618,-93.9288723
717,"Kingsport city, Tennessee","48,205",52997,52953,52924,52739,52817,52822,52757,52521,53487,54006,54127,36.550238,-82.5594293
718,"Minnetonka city, Minnesota","49,734",49735,49796,50646,51232,51437,51555,51739,52447,52910,53883,54064,44.9405086,-93.4638936
719,"Rosemead city, California","53,764",53771,53795,54022,54215,54398,54429,54440,54332,54221,54226,54058,34.0676169,-118.0879763
720,"Paramount city, California","54,098",54098,54104,54329,54580,54854,54914,54971,54789,54621,54259,53955,33.898917,-118.171005
721,"Rocky Mount city, North Carolina","57,477",57695,57680,57401,56735,56300,55880,55003,54992,54634,54232,53922,35.9423833,-77.7956949
722,"Yucaipa city, California","51,367",51347,51474,51954,52280,52546,52730,52981,53186,53496,53557,53921,34.033625,-117.0430865
723,"Watsonville city, California","51,199",51214,51278,51593,51887,52412,52959,53528,53774,53919,53875,53856,36.9092773,-121.7529071
724,"Elyria city, Ohio","54,533",54526,54487,54322,54162,54115,54078,53917,53865,53781,53797,53757,41.3673191,-82.1073583
725,"Leesburg town, Virginia","42,616",42643,43067,44537,46076,47713,49338,50935,52495,54055,53763,53727,39.11555585,-77.5661008306819
726,"Mount Prospect village, Illinois","54,167",55037,55082,55264,55417,55602,55770,55528,55156,54675,54116,53719,42.0664167,-87.9372908
727,"Pinellas Park city, Florida","49,079",49553,49532,49944,50202,50532,51410,51989,52615,52940,53157,53637,27.8428025,-82.6995444
728,"Delano city, California","53,041",53044,53130,53620,52403,52331,52447,52495,52568,52877,52921,53573,35.7688425,-119.2470536
729,"Bellevue city, Nebraska","50,137",51520,51634,51858,52407,52786,52706,52956,53291,53398,53494,53544,41.143294,-95.912585
